id,issue_detail,category_id,subcategory_id,frequency,step1,step2,step3,step4,step5
89,Bluetooth pairing issues,2,2,8,Restart devices.,Update drivers.,Forget and re-pair device.,Check for interference.,Contact support.
90,Email not downloading attachments,3,1,9,Check file size.,Restart app.,Try another device.,Update app.,Contact support.
91,Wi-Fi signal fluctuating,1,1,11,Move closer to router.,Check cables.,Update router firmware.,Test with another device.,Contact support.
92,Bluetooth device not charging,2,1,7,Check battery levels.,Reconnect device.,Update drivers.,Test another charger.,Contact support.
93,App interface glitching,5,1,6,Clear app cache.,Reinstall app.,Restart device.,Update app.,Contact support.
94,Email sync delay,3,3,6,Check server settings.,Update client.,Restart app.,Try another device.,Contact support.
95,Wi-Fi reconnect issue,1,1,9,Forget and reconnect.,Restart router.,Update router firmware.,Test another device.,Contact support.
96,Slow Bluetooth connection,2,2,8,Check battery levels.,Update drivers.,Reduce distance.,Test with another device.,Contact support.
97,Email draft not sent,3,1,8,Check server settings.,Restart app.,Update client.,Try another device.,Contact support.
98,Wi-Fi not working on one device,1,1,10,Restart device.,Forget and reconnect.,Update router firmware.,Test with another device.,Contact support.
99,Bluetooth not supported by device,2,1,7,Check device compatibility.,Update drivers.,Try another device.,Contact manufacturer.,Contact support.
100,Email login issue,3,2,8,Check credentials.,Restart app.,Update client.,Try another device.,Contact support.
